FID;FID_dai_lo;ID;INFO;UNSICHER;OLD;FID_phucso;ID_1;INFO_1;UNSICHER_1;OLD_1;FID_dong_g;ID_12;INFO_12;OLD_12;UNSICHER_2;FID_namgia;ID_12_13;INFO_12_13;UNSICHER_3;OLD_12_13;BUFF_DIST;area;ORIG_FID;TPFID;soil1;waterriver;VGTB_LandC;Topographi;litho1;fill_dgmq3;curvature;aspect;dgm_slope1;NEAR_FID;NEAR_DIST;curv_pln;curv_profi;longitude;latitude;is_ls
0;0;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;0;0;3;99;1;7,4034200;3;23,8964996;-0,9817970;128,4949951;14,9526997;974;146,875558049999995;-0,2804890;0,7013070;830258,0000000;1760540,0000000;1
1;1;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;1;1;3;99;5;8,7030001;3;21,1186008;-0,0638082;172,6360016;4,5545201;44;15,016869775400000;0,0037281;0,0675363;830203,0000000;1760310,0000000;1
2;2;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;2;2;3;90;2;8,7349796;3;20,6212997;-0,1236210;130,1649933;5,2421098;973;6,201667412150000;0,0575760;0,1811970;827743,0000000;1759200,0000000;1
3;3;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;3;3;6;99;2;5,2642002;3;56,9077988;0,5685380;151,5749969;16,8068008;972;216,283619173000005;0,3563790;-0,2121590;826077,0000000;1758510,0000000;1
4;4;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;4;4;3;99;1;5,0015898;3;44,7737007;-0,9131760;203,4940033;28,2961006;972;106,103890863000004;-0,3539280;0,5592480;824105,0000000;1757990,0000000;1
5;5;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;5;5;3;99;5;7,4628901;3;21,7042007;-0,5599340;175,3470001;8,1968899;972;75,950685483599997;-0,2263600;0,3335730;823420,0000000;1757720,0000000;1
6;6;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;6;6;3;99;2;6,3775001;3;26,3595009;-0,2874300;148,4420013;14,0145998;81;207,025855245000002;0,0308239;0,3182540;820379,0000000;1756560,0000000;1
7;7;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;7;7;3;99;5;6,3029499;3;24,6219006;-0,4269150;126,5640030;11,4350004;81;332,291633406000017;-0,0954773;0,3314380;820488,0000000;1756630,0000000;1
8;8;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;8;8;4;99;2;6,7588301;5;23,9817009;-0,0800641;246,7230072;10,6638002;297;59,795613845299997;0,1989720;0,2790360;820808,0000000;1755390,0000000;1
9;9;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;9;9;3;99;3;7,6816001;2;39,1377983;0,0644875;286,0799866;3,6033299;44;328,440490848000024;-0,1176450;-0,1821320;810876,0000000;1749700,0000000;1
10;10;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;10;10;3;99;5;5,1099801;5;42,7337990;0,8608960;290,6390076;15,9559002;44;17,149429714499998;0,2583340;-0,6025620;809879,0000000;1749690,0000000;1
11;11;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;11;11;3;99;1;5,5034199;5;40,8688011;-0,2096110;348,8999939;8,6462898;100;20,318710090500002;0,1439660;0,3535770;809916,0000000;1749720,0000000;1
12;12;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;12;12;4;30;5;6,2940898;2;18,7439995;-0,8390140;57,4729004;8,3174295;23;31,189412738200001;0,0098905;0,8489040;808966,0000000;1749200,0000000;1
13;13;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;13;13;3;99;1;6,7860398;2;100,9380035;-0,0208011;55,0009995;7,4357500;23;582,565931629000033;0,0886256;0,1094270;806926,0000000;1748430,0000000;1
14;14;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;14;14;3;30;3;6,0354400;2;99,3305969;-2,0365601;263,5539856;19,1177006;100;484,454581736000023;-0,2563430;1,7802200;807105,0000000;1748430,0000000;1
15;15;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;15;15;3;99;1;6,5750599;6;120,0289993;-0,0136244;4,8598499;9,7286701;23;21,986321511600000;-0,0014241;0,0122003;804139,0000000;1745700,0000000;1
16;16;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;16;16;3;99;3;6,7226100;2;38,7038002;-0,0848757;239,4470062;9,4854498;209;288,472981075000007;-0,0718644;0,0130113;803617,0000000;1745970,0000000;1
17;17;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;17;17;10;90;2;7,6237998;2;23,4874001;0,3331390;10,5506001;2,6414199;152;272,891876550000006;0,3211640;-0,0119748;801691,0000000;1744240,0000000;1
18;18;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;18;18;3;99;3;4,4644399;2;194,9049988;0,3610570;102,1289978;30,7984009;214;445,264821679000022;0,5636410;0,2025840;798729,0000000;1746430,0000000;1
19;19;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;19;19;3;99;1;5,0646701;2;196,6239929;-1,6875900;90,2772980;28,5930004;359;577,610327800000050;-0,4702230;1,2173700;798641,0000000;1746580,0000000;1
20;20;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;20;20;3;60;5;7,9022398;2;329,7929993;-0,6966110;237,4539948;12,1490002;21;3,492254897910000;-0,5989760;0,0976352;799320,0000000;1747110,0000000;1
21;21;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;21;21;3;99;5;5,3678498;2;398,3389893;-0,5933130;177,4199982;20,7647991;359;31,763760978000001;-0,0029500;0,5903630;796769,0000000;1747530,0000000;1
22;22;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;22;22;3;99;3;5,3707399;2;373,1919861;0,4687740;3,8483801;17,1730995;21;9,355308056280000;-0,0642845;-0,5330580;795628,0000000;1747050,0000000;1
23;23;0,000000000000000; ;0;0;-1;0,000000000000000; ;0;0;-1;0; ;0;0;-1;0,000000000000000; ;0;0;10,000000000000000;0,000000000000000;23;23;3;99;3;5,1083999;2;355,2879944;-0,2234400;349,3039856;26,6931992;21;18,830855313299999;0,0607002;0,2841400;795335,0000000;1747090,0000000;1
