FID;CID;curvature1;waterriver;VGTB_LandC;fill_dgmq3;litho1;dgm_slope1;aspect;curv_pln;curv_profi;soil1;NEAR_FID;NEAR_DIST;longitude;latitude;is_ls;Topographi
0;0;0,2296990;99;1;338,5130005;2;15,0873003;207,6020050;0,2173630;-0,0123359;10;21;514,366913487000033;800629,0000000;1746440,0000000;0;5,7782602
1;0;0,1070900;99;1;481,6380005;4;28,6564007;49,6240997;0,0259083;-0,0811813;3;0;575,840799223999966;851899,0000000;1785400,0000000;0;5,2727499
2;0;-0,2115580;99;3;296,6029968;4;12,6143999;254,7870026;0,0770890;0,2886470;3;50;479,659695544999977;836038,0000000;1791400,0000000;0;5,5266900
3;0;-0,2352530;99;1;271,6109924;4;20,2812004;146,5119934;-0,2925060;-0,0572524;3;8;110,129333621000001;835819,0000000;1693560,0000000;0;5,0962901
4;0;0,1546360;99;3;371,1149902;3;0,9105560;3,2563701;0,0668486;-0,0877874;3;32;254,197917507999989;800077,0000000;1708430,0000000;0;9,4296904
5;0;-0,0051572;99;6;8,3133097;5;1,7929500;61,9744987;-0,0145899;-0,0094327;4;44;659,097241470999961;835419,0000000;1768750,0000000;0;8,9615097
6;0;0,0197075;99;6;5,9210300;5;0,8014360;36,8776016;-0,0254184;-0,0451258;4;57;772,435738685000047;847395,0000000;1765310,0000000;0;10,0712996
7;0;0,2795000;99;3;1164,5600586;3;42,6777000;51,3404999;0,4036140;0,1241140;10;28;1344,098099219999995;751418,0000000;1749500,0000000;0;4,2129698
8;0;0,0106998;99;1;205,3860016;4;10,9080000;213,2899933;0,1085590;0,0978590;3;22;887,577589186999944;840288,0000000;1728910,0000000;0;5,3902602
9;0;-0,4660340;99;3;138,7109985;3;19,4577999;168,5070038;0,0216925;0,4877260;3;22;604,884742389000053;813343,0000000;1711750,0000000;0;5,2714300
10;0;-0,1065710;30;2;439,9639893;4;6,1120601;305,7609863;0,1474250;0,2539960;3;23;68,121078865300007;769045,0000000;1728390,0000000;0;7,4281802
11;0;-0,0203136;99;5;10,4984999;5;1,0267000;84,5947037;0,0057659;0,0260795;9;60;83,280970968700004;843068,0000000;1773350,0000000;0;9,6121902
12;0;-0,0000000;60;2;7,6486201;5;0,0000000;-1,0000000;0,0000000;0,0000000;4;51;1423,191777159999901;873808,0000000;1719360,0000000;0;12,4496002
